Date,Oil (BOPD),Gas (MMSCFD)
2025-03-20,3727.0,8.5
2025-03-21,3727.0,8.5
2025-03-22,3727.0,8.5
2025-03-23,3727.0,8.5
2025-03-24,3727.0,8.5
2025-03-25,3727.0,8.5
2025-03-26,4594.0,8.5
2025-03-27,4594.0,8.5
2025-03-28,4594.0,8.5
2025-03-29,4594.0,8.5
2025-03-30,4594.0,8.5
2025-03-31,3495.0,8.5
2025-04-01,5247.0,8.5
2025-04-02,5902.0,8.5
2025-04-03,5902.0,8.5
2025-04-04,5902.0,8.5
2025-04-05,5902.0,8.5
2025-04-06,5902.0,8.5
2025-04-07,4628.0,8.5
2025-04-08,4628.0,8.5
2025-04-09,4628.0,8.5
2025-04-10,4628.0,8.5
2025-04-11,4628.0,8.5
2025-04-12,4723.0,8.5
2025-04-13,4723.0,8.5
2025-04-14,4723.0,8.5
2025-04-15,4723.0,8.5
2025-04-16,4723.0,8.5
2025-04-17,4723.0,8.5
2025-04-18,4723.0,8.5
2025-04-19,4723.0,8.5
2025-04-20,4723.0,8.5
2025-04-21,4530.0,8.5
2025-04-22,4530.0,8.5
2025-04-23,4530.0,8.5
2025-04-24,4530.0,8.5
2025-04-25,4530.0,8.5
2025-04-26,4530.0,8.5
2025-04-27,4530.0,8.5
2025-04-28,4530.0,8.5
2025-04-29,4530.0,8.5
2025-04-30,4625.0,8.5
2025-05-01,4917.0,10.0
2025-05-02,5651.0,10.0
2025-05-03,5651.0,10.0
2025-05-04,5651.0,10.0
2025-05-05,5651.0,10.0
2025-05-06,5651.0,10.0
2025-05-07,4511.0,10.0
2025-05-08,4511.0,10.0
2025-05-09,4511.0,10.0
2025-05-10,4511.0,10.0
2025-05-11,4511.0,10.0
2025-05-12,4434.0,10.0
2025-05-13,4434.0,10.0
2025-05-14,4434.0,10.0
2025-05-15,4434.0,10.0
2025-05-16,4434.0,10.0
2025-05-17,4434.0,10.0
2025-05-18,4434.0,10.0
2025-05-19,4434.0,10.0
2025-05-20,4434.0,10.0
2025-05-21,4434.0,10.0
2025-05-22,4407.0,10.0
2025-05-23,4407.0,10.0
2025-05-24,4407.0,10.0
2025-05-25,4407.0,10.0
2025-05-26,4407.0,10.0
2025-05-27,4407.0,10.0
2025-05-28,4407.0,10.0
2025-05-29,4407.0,10.0
2025-05-30,4407.0,10.0
2025-05-31,4516.0,10.0
2025-06-01,4406.0,10.0
2025-06-02,4687.0,10.0
2025-06-03,4687.0,10.0
2025-06-04,4687.0,10.0
2025-06-05,4687.0,10.0
2025-06-06,4687.0,10.0
2025-06-07,5293.0,10.0
2025-06-08,5293.0,10.0
2025-06-09,5293.0,10.0
2025-06-10,5293.0,10.0
2025-06-11,5293.0,10.0
2025-06-12,0.0,0.0
2025-06-13,0.0,0.0
2025-06-14,0.0,0.0
2025-06-15,0.0,0.0
2025-06-16,0.0,0.0
2025-06-17,0.0,0.0
2025-06-18,0.0,0.0
2025-06-19,0.0,0.0
2025-06-20,0.0,0.0
2025-06-21,0.0,0.0
2025-06-22,5627.069767,10.5
2025-06-23,5627.069767,10.5
2025-06-24,5627.069767,10.5
2025-06-25,5627.069767,10.5
2025-06-26,5627.069767,10.5
2025-06-27,5627.069767,10.5
2025-06-28,5627.069767,10.5
2025-06-29,5627.069767,10.5
2025-06-30,5627.069767,10.5
2025-07-01,5627.069767,10.5
2025-07-02,5627.069767,10.5
2025-07-03,5627.069767,10.5
2025-07-04,5627.069767,10.5
2025-07-05,5627.069767,10.5
2025-07-06,5627.069767,10.5
2025-07-07,5627.069767,10.5
2025-07-08,5627.069767,10.5
2025-07-09,5627.069767,10.5
2025-07-10,5627.069767,10.5
2025-07-11,5627.069767,10.5
2025-07-12,5627.069767,10.5
2025-07-13,5627.069767,10.5
2025-07-14,5627.069767,10.5
2025-07-15,5627.069767,10.5
2025-07-16,5627.069767,10.5
2025-07-17,5627.069767,10.5
2025-07-18,5627.069767,10.5
2025-07-19,5627.069767,10.5
2025-07-20,5627.069767,10.5
2025-07-21,5627.069767,10.5
2025-07-22,5627.069767,10.5
2025-07-23,5627.069767,10.5
2025-07-24,5627.069767,10.5
2025-07-25,5627.069767,10.5
2025-07-26,5627.069767,10.5
2025-07-27,5627.069767,10.5
2025-07-28,5627.069767,10.5
2025-07-29,5627.069767,10.5
2025-07-30,5627.069767,10.5
2025-07-31,5627.069767,10.5
2025-08-01,5627.069767,10.5
2025-08-02,5627.069767,10.5
2025-08-03,5627.069767,10.5
2025-08-04,5627.069767,10.5
2025-08-05,5627.069767,10.5
2025-08-06,5627.069767,10.5
2025-08-07,5627.069767,10.5
2025-08-08,5627.069767,10.5
2025-08-09,5627.069767,10.5
2025-08-10,5627.069767,10.5
2025-08-11,5627.069767,10.5
2025-08-12,5627.069767,10.5
2025-08-13,5627.069767,10.5
2025-08-14,5627.069767,10.5
2025-08-15,5627.069767,10.5
2025-08-16,5627.069767,10.5
2025-08-17,5627.069767,10.5
2025-08-18,5627.069767,10.5
2025-08-19,5627.069767,10.5
2025-08-20,5627.069767,10.5
2025-08-21,5627.069767,10.5
2025-08-22,5627.069767,10.5
2025-08-23,5627.069767,10.5
2025-08-24,5627.069767,10.5
2025-08-25,5627.069767,10.5
2025-08-26,5627.069767,10.5
2025-08-27,7000.0,10.5
2025-08-28,7000.0,10.5
2025-08-29,7000.0,10.5
2025-08-30,7000.0,10.5
2025-08-31,7000.0,10.5
2025-09-01,7000.0,10.5
2025-09-02,7000.0,10.5
2025-09-03,7000.0,10.5
2025-09-04,7000.0,10.5
2025-09-05,7000.0,10.5
